# DEBUG Waiting for a keypress.
       142.17600 ms     0000115b ticks
        64.70400 ms     000007e6 ticks
       108.19200 ms     00000d35 ticks
       545.44000 ms     00004295 ticks
       115.00800 ms     00000e0a ticks
        47.96800 ms     000005db ticks
       160.51200 ms     00001398 ticks
        18.46400 ms     00000241 ticks
       189.66400 ms     00001727 ticks
        93.98400 ms     00000b79 ticks
       160.22400 ms     0000138f ticks
       315.52000 ms     00002684 ticks
       133.08800 ms     0000103f ticks
        31.26400 ms     000003d1 ticks
       121.79200 ms     00000ede ticks
       323.87200 ms     00002789 ticks
       162.52800 ms     000013d7 ticks
       185.92000 ms     000016b2 ticks
       115.00800 ms     00000e0a ticks
        20.80000 ms     0000028a ticks
       108.19200 ms     00000d35 ticks
       238.20800 ms     00001d14 ticks
       114.91200 ms     00000e07 ticks
       100.16000 ms     00000c3a ticks
       126.33600 ms     00000f6c ticks
        91.84000 ms     00000b36 ticks
       126.36800 ms     00000f6d ticks
        91.87200 ms     00000b37 ticks
       135.39200 ms     00001087 ticks
        62.62400 ms     000007a5 ticks
       160.25600 ms     00001390 ticks
       116.96000 ms     00000e47 ticks
       171.52000 ms     000014f0 ticks
       123.90400 ms     00000f20 ticks
        24.09600 ms     000002f1 ticks
        91.87200 ms     00000b37 ticks
       139.93600 ms     00001115 ticks
       340.64000 ms     00002995 ticks
       141.85600 ms     00001151 ticks
         8.51200 ms     0000010a ticks
       190.81600 ms     0000174b ticks
       685.44000 ms     000053ac ticks
       128.60800 ms     00000fb3 ticks
       687.52000 ms     000053ed ticks
       139.87200 ms     00001113 ticks
        43.80800 ms     00000559 ticks
       153.44000 ms     000012bb ticks
        26.14400 ms     00000331 ticks
        46.88000 ms     000005b9 ticks
        27.10400 ms     0000034f ticks
       137.63200 ms     000010cd ticks
        96.06400 ms     00000bba ticks
       139.90400 ms     00001114 ticks
        35.42400 ms     00000453 ticks
       164.83200 ms     0000141f ticks
        77.24800 ms     0000096e ticks
       133.12000 ms     00001040 ticks
        96.03200 ms     00000bb9 ticks
        83.32800 ms     00000a2c ticks
       200.57600 ms     0000187c ticks
       131.48800 ms     0000100d ticks
        13.95200 ms     000001b4 ticks
       108.83200 ms     00000d49 ticks
        89.79200 ms     00000af6 ticks
       124.03200 ms     00000f24 ticks
        21.24800 ms     00000298 ticks
        78.81600 ms     0000099f ticks
       292.54400 ms     000023b6 ticks
       124.06400 ms     00000f25 ticks
        81.44000 ms     000009f1 ticks
       105.95200 ms     00000cef ticks
       405.40800 ms     0000317d ticks
       137.66400 ms     000010ce ticks
        89.79200 ms     00000af6 ticks
        90.08000 ms     00000aff ticks
       206.84800 ms     00001940 ticks
       139.90400 ms     00001114 ticks
        52.16000 ms     0000065e ticks
       142.17600 ms     0000115b ticks
       110.68800 ms     00000d83 ticks
       128.60800 ms     00000fb3 ticks
        29.18400 ms     00000390 ticks
       124.03200 ms     00000f24 ticks
       108.64000 ms     00000d43 ticks
       133.12000 ms     00001040 ticks
       257.02400 ms     00001f60 ticks
       106.40000 ms     00000cfd ticks
        16.25600 ms     000001fc ticks
       174.81600 ms     00001557 ticks
        21.15200 ms     00000295 ticks
       114.65600 ms     00000dff ticks
       323.90400 ms     0000278a ticks
       135.39200 ms     00001087 ticks
        39.61600 ms     000004d6 ticks
       162.49600 ms     000013d6 ticks
        89.66400 ms     00000af2 ticks
        51.45600 ms     00000648 ticks
        39.64800 ms     000004d7 ticks
       130.84800 ms     00000ff9 ticks
        83.52000 ms     00000a32 ticks
       146.68800 ms     000011e8 ticks
        29.18400 ms     00000390 ticks
       178.81600 ms     000015d4 ticks
        16.28800 ms     000001fd ticks
       136.12800 ms     0000109e ticks
        45.88800 ms     0000059a ticks
       117.28000 ms     00000e51 ticks
        50.08000 ms     0000061d ticks
       137.63200 ms     000010cd ticks
       152.51200 ms     0000129e ticks
        72.00000 ms     000008ca ticks
       516.19200 ms     00003f03 ticks
       110.49600 ms     00000d7d ticks
        83.52000 ms     00000a32 ticks
       133.15200 ms     00001041 ticks
       775.36000 ms     00005ea6 ticks
       148.99200 ms     00001230 ticks
       125.31200 ms     00000f4c ticks
       135.84000 ms     00001095 ticks
        16.25600 ms     000001fc ticks
       120.19200 ms     00000eac ticks
        20.80000 ms     0000028a ticks
       112.70400 ms     00000dc2 ticks
        31.04000 ms     000003ca ticks
       103.84000 ms     00000cad ticks
        91.87200 ms     00000b37 ticks
       128.57600 ms     00000fb2 ticks
        55.45600 ms     000006c5 ticks
       115.23200 ms     00000e11 ticks
       587.10400 ms     000047ab ticks
       173.69600 ms     00001534 ticks
        60.51200 ms     00000763 ticks
        78.78400 ms     0000099e ticks
       173.37600 ms     0000152a ticks
       167.07200 ms     00001465 ticks
        45.88800 ms     0000059a ticks
       101.40800 ms     00000c61 ticks
       144.12800 ms     00001198 ticks
       119.55200 ms     00000e98 ticks
       213.12000 ms     00001a04 ticks
       162.52800 ms     000013d7 ticks
        20.76800 ms     00000289 ticks
       169.34400 ms     000014ac ticks
        35.45600 ms     00000454 ticks
       151.20000 ms     00001275 ticks
       265.37600 ms     00002065 ticks
       135.39200 ms     00001087 ticks
        50.08000 ms     0000061d ticks
       142.17600 ms     0000115b ticks
        60.51200 ms     00000763 ticks
       162.49600 ms     000013d6 ticks
        28.60800 ms     0000037e ticks
       128.89600 ms     00000fbc ticks
       179.64800 ms     000015ee ticks
       171.58400 ms     000014f2 ticks
       104.41600 ms     00000cbf ticks
       121.79200 ms     00000ede ticks
       133.66400 ms     00001051 ticks
        99.16800 ms     00000c1b ticks
        77.24800 ms     0000096e ticks
        83.32800 ms     00000a2c ticks
        66.78400 ms     00000827 ticks
       171.52000 ms     000014f0 ticks
        21.28000 ms     00000299 ticks
       140.28800 ms     00001120 ticks
        22.88000 ms     000002cb ticks
       110.43200 ms     00000d7b ticks
        48.12800 ms     000005e0 ticks
        94.72000 ms     00000b90 ticks
       206.84800 ms     00001940 ticks
       133.12000 ms     00001040 ticks
        79.32800 ms     000009af ticks
       121.79200 ms     00000ede ticks
       112.76800 ms     00000dc4 ticks
       108.22400 ms     00000d36 ticks
        20.80000 ms     0000028a ticks
        99.16800 ms     00000c1b ticks
        29.18400 ms     00000390 ticks
        81.02400 ms     000009e4 ticks
        40.80000 ms     000004fb ticks
        60.51200 ms     00000763 ticks
        23.55200 ms     000002e0 ticks
       101.08800 ms     00000c57 ticks
       461.82400 ms     00003860 ticks
       108.22400 ms     00000d36 ticks
       390.78400 ms     00002fb4 ticks
       142.17600 ms     0000115b ticks
       181.76000 ms     00001630 ticks
        69.76000 ms     00000884 ticks
       102.30400 ms     00000c7d ticks
       101.40800 ms     00000c61 ticks
        21.24800 ms     00000298 ticks
       128.70400 ms     00000fb6 ticks
        18.84800 ms     0000024d ticks
       139.00800 ms     000010f8 ticks
        11.96800 ms     00000176 ticks
       140.28800 ms     00001120 ticks
       729.31200 ms     00005907 ticks
       119.52000 ms     00000e97 ticks
       114.88000 ms     00000e06 ticks
       157.98400 ms     00001349 ticks
        43.80800 ms     00000559 ticks
        81.02400 ms     000009e4 ticks
        57.88800 ms     00000711 ticks
        90.20800 ms     00000b03 ticks
       158.72000 ms     00001360 ticks
       169.60000 ms     000014b4 ticks
        18.46400 ms     00000241 ticks
       128.54400 ms     00000fb1 ticks
        26.14400 ms     00000331 ticks
       111.84000 ms     00000da7 ticks
        11.45600 ms     00000166 ticks
       128.57600 ms     00000fb2 ticks
        39.61600 ms     000004d6 ticks
       117.28000 ms     00000e51 ticks
       152.51200 ms     0000129e ticks
       155.74400 ms     00001303 ticks
       417.95200 ms     00003305 ticks
       124.06400 ms     00000f25 ticks
        20.80000 ms     0000028a ticks
       103.64800 ms     00000ca7 ticks
        21.28000 ms     00000299 ticks
       108.38400 ms     00000d3b ticks
        41.72800 ms     00000518 ticks
       101.37600 ms     00000c60 ticks
        23.71200 ms     000002e5 ticks
       100.83200 ms     00000c4f ticks
         9.63200 ms     0000012d ticks
        80.67200 ms     000009d9 ticks
       179.64800 ms     000015ee ticks
       139.90400 ms     00001114 ticks
       139.96800 ms     00001116 ticks
        90.11200 ms     00000b00 ticks
        62.81600 ms     000007ab ticks
        85.24800 ms     00000a68 ticks
         8.54400 ms     0000010b ticks
       153.47200 ms     000012bc ticks
        33.37600 ms     00000413 ticks
       128.57600 ms     00000fb2 ticks
        73.05600 ms     000008eb ticks
       137.63200 ms     000010cd ticks
        21.24800 ms     00000298 ticks
       123.48800 ms     00000f13 ticks
        11.48800 ms     00000167 ticks
       142.17600 ms     0000115b ticks
       535.00800 ms     0000414f ticks
       133.12000 ms     00001040 ticks
        91.87200 ms     00000b37 ticks
       151.20000 ms     00001275 ticks
        33.47200 ms     00000416 ticks
        97.02400 ms     00000bd8 ticks
        35.42400 ms     00000453 ticks
       108.22400 ms     00000d36 ticks
       165.05600 ms     00001426 ticks
       114.97600 ms     00000e09 ticks
        21.28000 ms     00000299 ticks
        81.08800 ms     000009e6 ticks
        35.42400 ms     00000453 ticks
       164.60800 ms     00001418 ticks
       520.28800 ms     00003f83 ticks
       124.06400 ms     00000f25 ticks
        48.00000 ms     000005dc ticks
       110.49600 ms     00000d7d ticks
       171.29600 ms     000014e9 ticks
       103.64800 ms     00000ca7 ticks
        53.02400 ms     00000679 ticks
       101.60000 ms     00000c67 ticks
       127.42400 ms     00000f8e ticks
       176.12800 ms     00001580 ticks
       110.68800 ms     00000d83 ticks
       142.17600 ms     0000115b ticks
        20.80000 ms     0000028a ticks
       128.60800 ms     00000fb3 ticks
       116.99200 ms     00000e48 ticks
       116.54400 ms     00000e3a ticks
        11.52000 ms     00000168 ticks
       101.92000 ms     00000c71 ticks
        26.01600 ms     0000032d ticks
        82.97600 ms     00000a21 ticks
       121.12000 ms     00000ec9 ticks
       115.00800 ms     00000e0a ticks
       127.45600 ms     00000f8f ticks
       148.96000 ms     0000122f ticks
        20.80000 ms     0000028a ticks
       137.60000 ms     000010cc ticks
        28.57600 ms     0000037d ticks
       106.14400 ms     00000cf5 ticks
        37.53600 ms     00000495 ticks
       140.70400 ms     0000112d ticks
        11.74400 ms     0000016f ticks
       133.85600 ms     00001057 ticks
       206.88000 ms     00001941 ticks
       151.20000 ms     00001275 ticks
        20.83200 ms     0000028b ticks
        90.11200 ms     00000b00 ticks
       148.32000 ms     0000121b ticks
       126.36800 ms     00000f6d ticks
       330.24000 ms     00002850 ticks
       203.23200 ms     000018cf ticks
        21.24800 ms     00000298 ticks
       142.59200 ms     00001168 ticks
        50.08000 ms     0000061d ticks
       144.44800 ms     000011a2 ticks
        50.08000 ms     0000061d ticks
       119.52000 ms     00000e97 ticks
        96.06400 ms     00000bba ticks
        96.92800 ms     00000bd5 ticks
       401.24800 ms     000030fb ticks
       119.48800 ms     00000e96 ticks
        96.99200 ms     00000bd7 ticks
        28.67200 ms     00000380 ticks
        35.45600 ms     00000454 ticks
       133.12000 ms     00001040 ticks
       123.26400 ms     00000f0c ticks
       108.22400 ms     00000d36 ticks
        27.07200 ms     0000034e ticks
        72.03200 ms     000008cb ticks
       125.31200 ms     00000f4c ticks
       119.55200 ms     00000e98 ticks
        77.24800 ms     0000096e ticks
       135.39200 ms     00001087 ticks
       104.44800 ms     00000cc0 ticks
       155.77600 ms     00001304 ticks
        50.04800 ms     0000061c ticks
       101.47200 ms     00000c63 ticks
       160.86400 ms     000013a3 ticks
       134.72000 ms     00001072 ticks
         9.66400 ms     0000012e ticks
        99.29600 ms     00000c1f ticks
        20.83200 ms     0000028b ticks
        76.48000 ms     00000956 ticks
        38.40000 ms     000004b0 ticks
        90.17600 ms     00000b02 ticks
       275.84000 ms     000021ac ticks
        74.30400 ms     00000912 ticks
       142.04800 ms     00001157 ticks
        85.60000 ms     00000a73 ticks
        89.79200 ms     00000af6 ticks
       115.00800 ms     00000e0a ticks
        52.16000 ms     0000065e ticks
       130.91200 ms     00000ffb ticks
       127.39200 ms     00000f8d ticks
       114.62400 ms     00000dfe ticks
        21.28000 ms     00000299 ticks
        85.63200 ms     00000a74 ticks
       303.07200 ms     000024ff ticks
       108.22400 ms     00000d36 ticks
        62.62400 ms     000007a5 ticks
        92.38400 ms     00000b47 ticks
       100.25600 ms     00000c3d ticks
        76.54400 ms     00000958 ticks
        89.79200 ms     00000af6 ticks
       142.20800 ms     0000115c ticks
        41.72800 ms     00000518 ticks
       155.77600 ms     00001304 ticks
       160.86400 ms     000013a3 ticks
       124.09600 ms     00000f26 ticks
        43.80800 ms     00000559 ticks
       117.88800 ms     00000e64 ticks
        14.01600 ms     000001b6 ticks
       131.58400 ms     00001010 ticks
       219.42400 ms     00001ac9 ticks
       155.74400 ms     00001303 ticks
        20.83200 ms     0000028b ticks
       180.64000 ms     0000160d ticks
      1247.68000 ms     0000984e ticks
       128.57600 ms     00000fb2 ticks
       211.04000 ms     000019c3 ticks
       121.82400 ms     00000edf ticks
       440.96000 ms     000035d4 ticks
        49.40800 ms     00000608 ticks
       286.27200 ms     000022f2 ticks
       137.66400 ms     000010ce ticks
        35.45600 ms     00000454 ticks
       115.00800 ms     00000e0a ticks
       417.76000 ms     000032ff ticks
        92.38400 ms     00000b47 ticks
       286.27200 ms     000022f2 ticks
       110.49600 ms     00000d7d ticks
       104.41600 ms     00000cbf ticks
        90.08000 ms     00000aff ticks
        79.32800 ms     000009af ticks
       128.60800 ms     00000fb3 ticks
        24.99200 ms     0000030d ticks
       112.76800 ms     00000dc4 ticks
        39.58400 ms     000004d5 ticks
       103.71200 ms     00000ca9 ticks
       183.87200 ms     00001672 ticks
       139.90400 ms     00001114 ticks
        37.53600 ms     00000495 ticks
       167.84000 ms     0000147d ticks
        11.77600 ms     00000170 ticks
       117.56800 ms     00000e5a ticks
        16.54400 ms     00000205 ticks
        96.54400 ms     00000bc9 ticks
       121.12000 ms     00000ec9 ticks
       101.44000 ms     00000c62 ticks
        45.88800 ms     0000059a ticks
        94.65600 ms     00000b8e ticks
       123.20000 ms     00000f0a ticks
        94.65600 ms     00000b8e ticks
        20.80000 ms     0000028a ticks
       121.37600 ms     00000ed1 ticks
        14.30400 ms     000001bf ticks
        94.75200 ms     00000b91 ticks
        70.97600 ms     000008aa ticks
       144.41600 ms     000011a1 ticks
        96.03200 ms     00000bb9 ticks
       121.82400 ms     00000edf ticks
        77.24800 ms     0000096e ticks
       105.95200 ms     00000cef ticks
       121.15200 ms     00000eca ticks
       153.12000 ms     000012b1 ticks
         8.54400 ms     0000010b ticks
        70.08000 ms     0000088e ticks
       100.22400 ms     00000c3c ticks
       101.40800 ms     00000c61 ticks
        89.76000 ms     00000af5 ticks
       121.76000 ms     00000edd ticks
        43.23200 ms     00000547 ticks
        83.32800 ms     00000a2c ticks
        75.16800 ms     0000092d ticks
       112.73600 ms     00000dc3 ticks
       179.68000 ms     000015ef ticks
        96.89600 ms     00000bd4 ticks
        39.64800 ms     000004d7 ticks
       139.45600 ms     00001106 ticks
        14.30400 ms     000001bf ticks
        96.99200 ms     00000bd7 ticks
        20.83200 ms     0000028b ticks
       128.57600 ms     00000fb2 ticks
        50.04800 ms     0000061c ticks
       115.04000 ms     00000e0b ticks
        52.12800 ms     0000065d ticks
       128.60800 ms     00000fb3 ticks
        27.07200 ms     0000034e ticks
       103.64800 ms     00000ca7 ticks
        21.24800 ms     00000298 ticks
        87.90400 ms     00000abb ticks
       825.47200 ms     000064c4 ticks
       146.04800 ms     000011d4 ticks
         9.66400 ms     0000012e ticks
       103.84000 ms     00000cad ticks
      1684.51200 ms     0000cda1 ticks
       112.76800 ms     00000dc4 ticks
      2654.08000 ms     000143fc ticks
       117.24800 ms     00000e50 ticks
       135.77600 ms     00001093 ticks
       153.47200 ms     000012bc ticks
        37.56800 ms     00000496 ticks
        80.64000 ms     000009d8 ticks
        14.30400 ms     000001bf ticks
        99.26400 ms     00000c1e ticks
        28.44800 ms     00000379 ticks
       114.65600 ms     00000dff ticks
        20.80000 ms     0000028a ticks
       121.79200 ms     00000ede ticks
       150.43200 ms     0000125d ticks
       133.12000 ms     00001040 ticks
       167.13600 ms     00001467 ticks
       117.28000 ms     00000e51 ticks
        20.80000 ms     0000028a ticks
       119.55200 ms     00000e98 ticks
       162.94400 ms     000013e4 ticks
       108.19200 ms     00000d35 ticks
        50.56000 ms     0000062c ticks
        85.63200 ms     00000a74 ticks
        98.14400 ms     00000bfb ticks
       133.12000 ms     00001040 ticks
        20.80000 ms     0000028a ticks
       112.76800 ms     00000dc4 ticks
       142.04800 ms     00001157 ticks
        96.89600 ms     00000bd4 ticks
        70.11200 ms     0000088f ticks
        67.39200 ms     0000083a ticks
       100.25600 ms     00000c3d ticks
       117.21600 ms     00000e4f ticks
      1019.64800 ms     00007c78 ticks
       115.00800 ms     00000e0a ticks
        70.97600 ms     000008aa ticks
       162.56000 ms     000013d8 ticks
       397.02400 ms     00003077 ticks
       139.90400 ms     00001114 ticks
       756.48000 ms     00005c58 ticks
       155.74400 ms     00001303 ticks
       200.54400 ms     0000187b ticks
       137.63200 ms     000010cd ticks
       135.77600 ms     00001093 ticks
       105.92000 ms     00000cee ticks
       150.43200 ms     0000125d ticks
       108.03200 ms     00000d30 ticks
        18.94400 ms     00000250 ticks
        99.23200 ms     00000c1d ticks
        30.91200 ms     000003c6 ticks
       112.38400 ms     00000db8 ticks
        35.42400 ms     00000453 ticks
       119.55200 ms     00000e98 ticks
        20.76800 ms     00000289 ticks
       117.28000 ms     00000e51 ticks
       223.58400 ms     00001b4b ticks
       128.25600 ms     00000fa8 ticks
         8.51200 ms     0000010a ticks
       120.22400 ms     00000ead ticks
       106.49600 ms     00000d00 ticks
       141.82400 ms     00001150 ticks
         8.51200 ms     0000010a ticks
       139.77600 ms     00001110 ticks
        11.48800 ms     00000167 ticks
       124.06400 ms     00000f25 ticks
        22.88000 ms     000002cb ticks
       139.87200 ms     00001113 ticks
       200.48000 ms     00001879 ticks
       124.03200 ms     00000f24 ticks
       112.76800 ms     00000dc4 ticks
       110.46400 ms     00000d7c ticks
        28.57600 ms     0000037d ticks
       122.59200 ms     00000ef7 ticks
        13.95200 ms     000001b4 ticks
       105.95200 ms     00000cef ticks
       125.28000 ms     00000f4b ticks
       101.40800 ms     00000c61 ticks
       110.65600 ms     00000d82 ticks
       167.04000 ms     00001464 ticks
        62.59200 ms     000007a4 ticks
       105.92000 ms     00000cee ticks
       119.00800 ms     00000e87 ticks
       119.48800 ms     00000e96 ticks
        24.99200 ms     0000030d ticks
        90.08000 ms     00000aff ticks
        62.59200 ms     000007a4 ticks
       117.28000 ms     00000e51 ticks
       125.28000 ms     00000f4b ticks
        71.93600 ms     000008c8 ticks
        38.40000 ms     000004b0 ticks
        89.40800 ms     00000aea ticks
         9.60000 ms     0000012c ticks
        51.26400 ms     00000642 ticks
       254.84800 ms     00001f1c ticks
       115.00800 ms     00000e0a ticks
        89.72800 ms     00000af4 ticks
       101.37600 ms     00000c60 ticks
        35.90400 ms     00000462 ticks
       133.40800 ms     00001049 ticks
       269.50400 ms     000020e6 ticks
       137.56800 ms     000010cb ticks
        21.28000 ms     00000299 ticks
       153.92000 ms     000012ca ticks
        20.80000 ms     0000028a ticks
       117.24800 ms     00000e50 ticks
        73.05600 ms     000008eb ticks
       114.56000 ms     00000dfc ticks
        14.30400 ms     000001bf ticks
        81.05600 ms     000009e5 ticks
       164.99200 ms     00001424 ticks
        96.89600 ms     00000bd4 ticks
       104.41600 ms     00000cbf ticks
       142.11200 ms     00001159 ticks
        83.52000 ms     00000a32 ticks
        26.72000 ms     00000343 ticks
      1456.25600 ms     0000b1c4 ticks
       130.84800 ms     00000ff9 ticks
       309.15200 ms     000025bd ticks
       142.14400 ms     0000115a ticks
       146.14400 ms     000011d7 ticks
       128.83200 ms     00000fba ticks
        18.43200 ms     00000240 ticks
       145.98400 ms     000011d2 ticks
         9.66400 ms     0000012e ticks
       156.19200 ms     00001311 ticks
      1387.20000 ms     0000a956 ticks
       135.36000 ms     00001086 ticks
       388.48000 ms     00002f6c ticks
       101.28000 ms     00000c5d ticks
       146.17600 ms     000011d8 ticks
       101.44000 ms     00000c62 ticks
        85.56800 ms     00000a72 ticks
       123.87200 ms     00000f1f ticks
        18.94400 ms     00000250 ticks
        87.87200 ms     00000aba ticks
       162.91200 ms     000013e3 ticks
       117.28000 ms     00000e51 ticks
        66.78400 ms     00000827 ticks
       200.89600 ms     00001886 ticks
        21.28000 ms     00000299 ticks
       135.71200 ms     00001091 ticks
        20.76800 ms     00000289 ticks
       148.96000 ms     0000122f ticks
        24.96000 ms     0000030c ticks
       121.79200 ms     00000ede ticks
        33.47200 ms     00000416 ticks
       110.65600 ms     00000d82 ticks
        83.48800 ms     00000a31 ticks
       110.49600 ms     00000d7d ticks
       133.63200 ms     00001050 ticks
       141.79200 ms     0000114f ticks
         8.51200 ms     0000010a ticks
       147.48800 ms     00001201 ticks
        60.54400 ms     00000764 ticks
       110.43200 ms     00000d7b ticks
       192.16000 ms     00001775 ticks
       105.95200 ms     00000cef ticks
       108.57600 ms     00000d41 ticks
       137.60000 ms     000010cc ticks
       121.15200 ms     00000eca ticks
        85.53600 ms     00000a71 ticks
       472.22400 ms     000039a5 ticks
       108.19200 ms     00000d35 ticks
       119.00800 ms     00000e87 ticks
        99.13600 ms     00000c1a ticks
        77.21600 ms     0000096d ticks
       183.10400 ms     0000165a ticks
        18.43200 ms     00000240 ticks
       148.92800 ms     0000122e ticks
        37.53600 ms     00000495 ticks
       130.75200 ms     00000ff6 ticks
        33.47200 ms     00000416 ticks
       135.68000 ms     00001090 ticks
       250.65600 ms     00001e99 ticks
       133.08800 ms     0000103f ticks
        24.96000 ms     0000030c ticks
       146.65600 ms     000011e7 ticks
       200.51200 ms     0000187a ticks
       112.67200 ms     00000dc1 ticks
        21.24800 ms     00000298 ticks
       112.48000 ms     00000dbb ticks
        14.20800 ms     000001bc ticks
        85.21600 ms     00000a67 ticks
        98.11200 ms     00000bfa ticks
       101.37600 ms     00000c60 ticks
        21.24800 ms     00000298 ticks
        71.74400 ms     000008c2 ticks
        18.84800 ms     0000024d ticks
        98.75200 ms     00000c0e ticks
        24.96000 ms     0000030c ticks
        76.54400 ms     00000958 ticks
       198.43200 ms     00001839 ticks
       126.30400 ms     00000f6b ticks
       100.22400 ms     00000c3c ticks
       128.51200 ms     00000fb0 ticks
       183.80800 ms     00001670 ticks
       108.19200 ms     00000d35 ticks
        87.64800 ms     00000ab3 ticks
        62.94400 ms     000007af ticks
       112.73600 ms     00000dc3 ticks
        92.35200 ms     00000b46 ticks
        98.11200 ms     00000bfa ticks
       124.06400 ms     00000f25 ticks
       626.75200 ms     00004c82 ticks
       126.27200 ms     00000f6a ticks
        20.80000 ms     0000028a ticks
       114.97600 ms     00000e09 ticks
      1530.97600 ms     0000bae3 ticks
       191.90400 ms     0000176d ticks
       121.08800 ms     00000ec8 ticks
        99.16800 ms     00000c1b ticks
        43.77600 ms     00000558 ticks
       139.87200 ms     00001113 ticks
        24.96000 ms     0000030c ticks
       121.79200 ms     00000ede ticks
       355.13600 ms     00002b5a ticks
       108.19200 ms     00000d35 ticks
        20.80000 ms     0000028a ticks
       105.92000 ms     00000cee ticks
       139.90400 ms     00001114 ticks
       117.24800 ms     00000e50 ticks
        24.99200 ms     0000030d ticks
       112.70400 ms     00000dc2 ticks
        93.95200 ms     00000b78 ticks
        99.10400 ms     00000c19 ticks
        77.12000 ms     0000096a ticks
        98.91200 ms     00000c13 ticks
        79.10400 ms     000009a8 ticks
       116.92800 ms     00000e46 ticks
       185.44000 ms     000016a3 ticks
       134.36800 ms     00001067 ticks
        11.48800 ms     00000167 ticks
       147.45600 ms     00001200 ticks
        45.88800 ms     0000059a ticks
        67.45600 ms     0000083c ticks
       142.01600 ms     00001156 ticks
        92.35200 ms     00000b46 ticks
       225.60000 ms     00001b8a ticks
       124.03200 ms     00000f24 ticks
        81.40800 ms     000009f0 ticks
       112.73600 ms     00000dc3 ticks
       233.98400 ms     00001c90 ticks
        94.59200 ms     00000b8c ticks
       476.19200 ms     00003a21 ticks
       152.70400 ms     000012a4 ticks
        11.48800 ms     00000167 ticks
       117.88800 ms     00000e64 ticks
       154.56000 ms     000012de ticks
       105.95200 ms     00000cef ticks
        47.96800 ms     000005db ticks
       126.33600 ms     00000f6c ticks
       139.93600 ms     00001115 ticks
       140.16000 ms     0000111c ticks
        18.46400 ms     00000241 ticks
       151.20000 ms     00001275 ticks
        20.83200 ms     0000028b ticks
       139.90400 ms     00001114 ticks
      1577.47200 ms     0000c090 ticks
       135.36000 ms     00001086 ticks
      2298.27200 ms     0001188d ticks
       133.08800 ms     0000103f ticks
        31.23200 ms     000003d0 ticks
       153.44000 ms     000012bb ticks
       236.06400 ms     00001cd1 ticks
       124.03200 ms     00000f24 ticks
       156.64000 ms     0000131f ticks
        90.04800 ms     00000afe ticks
        79.45600 ms     000009b3 ticks
        19.80800 ms     0000026b ticks
       599.68000 ms     00004934 ticks
       155.74400 ms     00001303 ticks
        20.80000 ms     0000028a ticks
       128.60800 ms     00000fb3 ticks
       158.72000 ms     00001360 ticks
       119.52000 ms     00000e97 ticks
      1059.26400 ms     0000814e ticks
       110.49600 ms     00000d7d ticks
       373.98400 ms     00002da7 ticks
       130.81600 ms     00000ff8 ticks
       388.60800 ms     00002f70 ticks
        96.73600 ms     00000bcf ticks
        18.94400 ms     00000250 ticks
       135.68000 ms     00001090 ticks
        93.98400 ms     00000b79 ticks
       146.65600 ms     000011e7 ticks
       162.91200 ms     000013e3 ticks
       130.81600 ms     00000ff8 ticks
      1124.09600 ms     00008938 ticks
       119.55200 ms     00000e98 ticks
       123.20000 ms     00000f0a ticks
       105.95200 ms     00000cef ticks
        50.08000 ms     0000061d ticks
        94.62400 ms     00000b8d ticks
        85.60000 ms     00000a73 ticks
       133.08800 ms     0000103f ticks
        87.68000 ms     00000ab4 ticks
       110.46400 ms     00000d7c ticks
       405.37600 ms     0000317c ticks
        24.48000 ms     000002fd ticks
       468.03200 ms     00003922 ticks
       117.28000 ms     00000e51 ticks
       152.48000 ms     0000129d ticks
       214.56000 ms     00001a31 ticks
       357.24800 ms     00002b9c ticks
       128.57600 ms     00000fb2 ticks
        20.80000 ms     0000028a ticks
        96.89600 ms     00000bd4 ticks
        20.80000 ms     0000028a ticks
       121.53600 ms     00000ed6 ticks
        20.80000 ms     0000028a ticks
       133.12000 ms     00001040 ticks
       614.24000 ms     00004afb ticks
       124.06400 ms     00000f25 ticks
        20.80000 ms     0000028a ticks
       142.11200 ms     00001159 ticks
       196.35200 ms     000017f8 ticks
       196.41600 ms     000017fa ticks
       128.38400 ms     00000fac ticks
        21.95200 ms     000002ae ticks
       181.76000 ms     00001630 ticks
       119.55200 ms     00000e98 ticks
       231.87200 ms     00001c4e ticks
       155.74400 ms     00001303 ticks
       139.93600 ms     00001115 ticks
        51.64800 ms     0000064e ticks
       526.52800 ms     00004046 ticks
        90.11200 ms     00000b00 ticks
       188.00000 ms     000016f3 ticks
       128.51200 ms     00000fb0 ticks
        31.04000 ms     000003ca ticks
        69.66400 ms     00000881 ticks
       131.55200 ms     0000100f ticks
       130.84800 ms     00000ff9 ticks
        39.61600 ms     000004d6 ticks
       151.20000 ms     00001275 ticks
       185.88800 ms     000016b1 ticks
       139.87200 ms     00001113 ticks
       137.82400 ms     000010d3 ticks
       112.76800 ms     00000dc4 ticks
        37.50400 ms     00000494 ticks
       124.67200 ms     00000f38 ticks
        13.98400 ms     000001b5 ticks
        86.01600 ms     00000a80 ticks
       194.24000 ms     000017b6 ticks
        83.29600 ms     00000a2b ticks
        28.57600 ms     0000037d ticks
        99.26400 ms     00000c1e ticks
        83.52000 ms     00000a32 ticks
       134.72000 ms     00001072 ticks
         9.66400 ms     0000012e ticks
       117.47200 ms     00000e57 ticks
       219.36000 ms     00001ac7 ticks
