# DEBUG Waiting for a keypress.
       470.20800 ms     00003966 ticks
       110.49600 ms     00000d7d ticks
        33.37600 ms     00000413 ticks
       113.37600 ms     00000dd7 ticks
        13.98400 ms     000001b5 ticks
        76.89600 ms     00000963 ticks
       133.69600 ms     00001052 ticks
       130.81600 ms     00000ff8 ticks
        31.04000 ms     000003ca ticks
       108.38400 ms     00000d3b ticks
        20.83200 ms     0000028b ticks
       128.57600 ms     00000fb2 ticks
       181.79200 ms     00001631 ticks
       110.46400 ms     00000d7c ticks
       133.69600 ms     00001052 ticks
        94.33600 ms     00000b84 ticks
        16.64000 ms     00000208 ticks
       149.40800 ms     0000123d ticks
       234.01600 ms     00001c91 ticks
       121.82400 ms     00000edf ticks
       681.24800 ms     00005329 ticks
       135.39200 ms     00001087 ticks
        20.76800 ms     00000289 ticks
       142.17600 ms     0000115b ticks
       601.85600 ms     00004978 ticks
       108.19200 ms     00000d35 ticks
       102.14400 ms     00000c78 ticks
        19.10400 ms     00000255 ticks
        18.81600 ms     0000024c ticks
       114.65600 ms     00000dff ticks
        79.36000 ms     000009b0 ticks
       108.22400 ms     00000d36 ticks
       430.24000 ms     00003485 ticks
       124.06400 ms     00000f25 ticks
        20.80000 ms     0000028a ticks
       148.99200 ms     00001230 ticks
       160.86400 ms     000013a3 ticks
       164.80000 ms     0000141e ticks
        75.16800 ms     0000092d ticks
       121.76000 ms     00000edd ticks
       108.60800 ms     00000d42 ticks
       117.28000 ms     00000e51 ticks
       225.63200 ms     00001b8b ticks
       128.57600 ms     00000fb2 ticks
        21.24800 ms     00000298 ticks
       106.11200 ms     00000cf4 ticks
        91.90400 ms     00000b38 ticks
       110.49600 ms     00000d7d ticks
       135.74400 ms     00001092 ticks
       117.24800 ms     00000e50 ticks
        21.28000 ms     00000299 ticks
        81.08800 ms     000009e6 ticks
       296.73600 ms     00002439 ticks
        94.62400 ms     00000b8d ticks
        52.16000 ms     0000065e ticks
       101.47200 ms     00000c63 ticks
       250.75200 ms     00001e9c ticks
       108.19200 ms     00000d35 ticks
        26.14400 ms     00000331 ticks
        83.32800 ms     00000a2c ticks
       125.34400 ms     00000f4d ticks
       108.06400 ms     00000d31 ticks
        18.97600 ms     00000251 ticks
        62.36800 ms     0000079d ticks
        14.24000 ms     000001bd ticks
       141.53600 ms     00001147 ticks
        16.64000 ms     00000208 ticks
       124.35200 ms     00000f2e ticks
        29.15200 ms     0000038f ticks
        85.56800 ms     00000a72 ticks
        23.71200 ms     000002e5 ticks
       112.99200 ms     00000dcb ticks
       280.00000 ms     0000222e ticks
       142.17600 ms     0000115b ticks
       152.51200 ms     0000129e ticks
       142.17600 ms     0000115b ticks
       129.53600 ms     00000fd0 ticks
       126.33600 ms     00000f6c ticks
       194.33600 ms     000017b9 ticks
       105.40800 ms     00000cde ticks
        12.00000 ms     00000177 ticks
        99.29600 ms     00000c1f ticks
       142.04800 ms     00001157 ticks
       133.15200 ms     00001041 ticks
       144.12800 ms     00001198 ticks
       115.04000 ms     00000e0b ticks
        98.14400 ms     00000bfb ticks
        90.14400 ms     00000b01 ticks
        54.24000 ms     0000069f ticks
       130.88000 ms     00000ffa ticks
        27.07200 ms     0000034e ticks
       146.68800 ms     000011e8 ticks
        20.83200 ms     0000028b ticks
       139.90400 ms     00001114 ticks
       150.43200 ms     0000125d ticks
       119.13600 ms     00000e8b ticks
        14.30400 ms     000001bf ticks
        87.16800 ms     00000aa4 ticks
         9.63200 ms     0000012d ticks
       130.46400 ms     00000fed ticks
       127.42400 ms     00000f8e ticks
       133.05600 ms     0000103e ticks
        21.28000 ms     00000299 ticks
       128.89600 ms     00000fbc ticks
       102.36800 ms     00000c7f ticks
       146.65600 ms     000011e7 ticks
        41.72800 ms     00000518 ticks
       152.96000 ms     000012ac ticks
        11.96800 ms     00000176 ticks
       140.25600 ms     0000111f ticks
        52.86400 ms     00000674 ticks
        98.81600 ms     00000c10 ticks
       121.15200 ms     00000eca ticks
        90.11200 ms     00000b00 ticks
       104.41600 ms     00000cbf ticks
       119.52000 ms     00000e97 ticks
       104.44800 ms     00000cc0 ticks
       137.66400 ms     000010ce ticks
       173.37600 ms     0000152a ticks
        96.89600 ms     00000bd4 ticks
        20.80000 ms     0000028a ticks
       112.76800 ms     00000dc4 ticks
        35.45600 ms     00000454 ticks
       148.96000 ms     0000122f ticks
       273.72800 ms     0000216a ticks
       169.34400 ms     000014ac ticks
        20.80000 ms     0000028a ticks
       130.81600 ms     00000ff8 ticks
        21.28000 ms     00000299 ticks
       126.62400 ms     00000f75 ticks
       108.60800 ms     00000d42 ticks
       121.79200 ms     00000ede ticks
        21.24800 ms     00000298 ticks
       110.68800 ms     00000d83 ticks
       242.40000 ms     00001d97 ticks
        94.59200 ms     00000b8c ticks
        67.68000 ms     00000843 ticks
        90.17600 ms     00000b02 ticks
       668.67200 ms     000051a0 ticks
       112.41600 ms     00000db9 ticks
         8.51200 ms     0000010a ticks
       158.91200 ms     00001366 ticks
        79.32800 ms     000009af ticks
       157.92000 ms     00001347 ticks
       115.84000 ms     00000e24 ticks
        13.40800 ms     000001a3 ticks
        45.88800 ms     0000059a ticks
       151.20000 ms     00001275 ticks
       842.08000 ms     000066cb ticks
       121.79200 ms     00000ede ticks
        22.88000 ms     000002cb ticks
       139.90400 ms     00001114 ticks
        60.51200 ms     00000763 ticks
       139.71200 ms     0000110e ticks
        18.94400 ms     00000250 ticks
       115.23200 ms     00000e11 ticks
       566.01600 ms     00004518 ticks
       135.39200 ms     00001087 ticks
        29.18400 ms     00000390 ticks
       126.30400 ms     00000f6b ticks
       167.10400 ms     00001466 ticks
       137.66400 ms     000010ce ticks
