# DEBUG Waiting for a keypress.
        96.92800 ms     00000bd5 ticks
        71.00800 ms     000008ab ticks
       121.21600 ms     00000ecc ticks
         9.69600 ms     0000012f ticks
        92.48000 ms     00000b4a ticks
        87.74400 ms     00000ab6 ticks
        99.16800 ms     00000c1b ticks
        28.64000 ms     0000037f ticks
        60.57600 ms     00000765 ticks
        60.48000 ms     00000762 ticks
        80.89600 ms     000009e0 ticks
        26.17600 ms     00000332 ticks
        40.06400 ms     000004e4 ticks
        82.24000 ms     00000a0a ticks
        39.96800 ms     000004e1 ticks
       209.05600 ms     00001985 ticks
       116.76800 ms     00000e41 ticks
        12.00000 ms     00000177 ticks
        76.51200 ms     00000957 ticks
        21.15200 ms     00000295 ticks
        85.21600 ms     00000a67 ticks
        82.36800 ms     00000a0e ticks
        40.67200 ms     000004f7 ticks
        13.98400 ms     000001b5 ticks
        87.84000 ms     00000ab9 ticks
        23.71200 ms     000002e5 ticks
        78.78400 ms     0000099e ticks
        33.37600 ms     00000413 ticks
        49.05600 ms     000005fd ticks
        28.60800 ms     0000037e ticks
        67.68000 ms     00000843 ticks
        18.46400 ms     00000241 ticks
        47.10400 ms     000005c0 ticks
        38.40000 ms     000004b0 ticks
        60.54400 ms     00000764 ticks
        21.15200 ms     00000295 ticks
        39.93600 ms     000004e0 ticks
        85.69600 ms     00000a76 ticks
        62.94400 ms     000007af ticks
        61.24800 ms     0000077a ticks
        11.96800 ms     00000176 ticks
        56.44800 ms     000006e4 ticks
        16.89600 ms     00000210 ticks
        21.12000 ms     00000294 ticks
        78.49600 ms     00000995 ticks
        24.99200 ms     0000030d ticks
        92.38400 ms     00000b47 ticks
        23.71200 ms     000002e5 ticks
        37.76000 ms     0000049c ticks
        40.67200 ms     000004f7 ticks
        24.16000 ms     000002f3 ticks
        71.00800 ms     000008ab ticks
        85.28000 ms     00000a69 ticks
         8.54400 ms     0000010b ticks
        80.99200 ms     000009e3 ticks
        16.54400 ms     00000205 ticks
        39.90400 ms     000004df ticks
        65.24800 ms     000007f7 ticks
        22.68800 ms     000002c5 ticks
        30.46400 ms     000003b8 ticks
        70.01600 ms     0000088c ticks
        24.99200 ms     0000030d ticks
        60.70400 ms     00000769 ticks
       286.43200 ms     000022f7 ticks
       101.47200 ms     00000c63 ticks
        54.27200 ms     000006a0 ticks
        89.85600 ms     00000af8 ticks
        16.64000 ms     00000208 ticks
        81.12000 ms     000009e7 ticks
        24.96000 ms     0000030c ticks
        81.05600 ms     000009e5 ticks
        21.31200 ms     0000029a ticks
        30.91200 ms     000003c6 ticks
        93.18400 ms     00000b60 ticks
        11.58400 ms     0000016a ticks
         9.66400 ms     0000012e ticks
        49.44000 ms     00000609 ticks
        48.22400 ms     000005e3 ticks
        38.27200 ms     000004ac ticks
        34.20800 ms     0000042d ticks
        11.55200 ms     00000169 ticks
        16.73600 ms     0000020b ticks
        65.66400 ms     00000804 ticks
        18.46400 ms     00000241 ticks
        51.61600 ms     0000064d ticks
        86.56000 ms     00000a91 ticks
        10.04800 ms     0000013a ticks
        28.00000 ms     0000036b ticks
        28.73600 ms     00000382 ticks
        83.55200 ms     00000a33 ticks
       103.74400 ms     00000caa ticks
        20.83200 ms     0000028b ticks
        99.16800 ms     00000c1b ticks
        23.71200 ms     000002e5 ticks
        70.27200 ms     00000894 ticks
        13.98400 ms     000001b5 ticks
       101.47200 ms     00000c63 ticks
        48.00000 ms     000005dc ticks
       117.34400 ms     00000e53 ticks
        68.92800 ms     0000086a ticks
        83.29600 ms     00000a2b ticks
        33.50400 ms     00000417 ticks
        78.78400 ms     0000099e ticks
        28.48000 ms     0000037a ticks
        62.59200 ms     000007a4 ticks
        50.59200 ms     0000062d ticks
        83.39200 ms     00000a2e ticks
        62.62400 ms     000007a5 ticks
        94.72000 ms     00000b90 ticks
        77.28000 ms     0000096f ticks
        83.29600 ms     00000a2b ticks
        26.17600 ms     00000332 ticks
        85.63200 ms     00000a74 ticks
        77.34400 ms     00000971 ticks
        30.91200 ms     000003c6 ticks
       100.32000 ms     00000c3f ticks
       121.82400 ms     00000edf ticks
        20.83200 ms     0000028b ticks
       107.74400 ms     00000d27 ticks
        12.00000 ms     00000177 ticks
        65.15200 ms     000007f4 ticks
        58.46400 ms     00000723 ticks
       130.88000 ms     00000ffa ticks
        57.92000 ms     00000712 ticks
        52.06400 ms     0000065b ticks
        13.98400 ms     000001b5 ticks
        72.00000 ms     000008ca ticks
        21.28000 ms     00000299 ticks
        96.67200 ms     00000bcd ticks
        35.26400 ms     0000044e ticks
        46.78400 ms     000005b6 ticks
        64.73600 ms     000007e7 ticks
       119.26400 ms     00000e8f ticks
         8.54400 ms     0000010b ticks
       147.84000 ms     0000120c ticks
        18.46400 ms     00000241 ticks
       108.19200 ms     00000d35 ticks
        23.74400 ms     000002e6 ticks
        82.75200 ms     00000a1a ticks
        11.93600 ms     00000175 ticks
        62.59200 ms     000007a4 ticks
        94.59200 ms     00000b8c ticks
        26.40000 ms     00000339 ticks
        20.80000 ms     0000028a ticks
        69.40800 ms     00000879 ticks
        14.30400 ms     000001bf ticks
        62.84800 ms     000007ac ticks
        48.03200 ms     000005dd ticks
        39.42400 ms     000004d0 ticks
        12.03200 ms     00000178 ticks
        58.27200 ms     0000071d ticks
        21.15200 ms     00000295 ticks
        71.61600 ms     000008be ticks
        21.28000 ms     00000299 ticks
        74.24000 ms     00000910 ticks
        35.80800 ms     0000045f ticks
        78.46400 ms     00000994 ticks
        35.93600 ms     00000463 ticks
        26.40000 ms     00000339 ticks
        38.24000 ms     000004ab ticks
        60.19200 ms     00000759 ticks
        18.97600 ms     00000251 ticks
        69.66400 ms     00000881 ticks
        38.27200 ms     000004ac ticks
        33.12000 ms     0000040b ticks
        39.93600 ms     000004e0 ticks
        19.55200 ms     00000263 ticks
        18.46400 ms     00000241 ticks
        46.91200 ms     000005ba ticks
        30.91200 ms     000003c6 ticks
        53.53600 ms     00000689 ticks
        35.84000 ms     00000460 ticks
        22.65600 ms     000002c4 ticks
        42.88000 ms     0000053c ticks
        24.12800 ms     000002f2 ticks
        66.81600 ms     00000828 ticks
        67.36000 ms     00000839 ticks
        18.97600 ms     00000251 ticks
        98.91200 ms     00000c13 ticks
        18.81600 ms     0000024c ticks
        64.86400 ms     000007eb ticks
        26.17600 ms     00000332 ticks
        51.48800 ms     00000649 ticks
        64.70400 ms     000007e6 ticks
        78.56000 ms     00000997 ticks
        16.67200 ms     00000209 ticks
        28.64000 ms     0000037f ticks
        62.40000 ms     0000079e ticks
        17.53600 ms     00000224 ticks
        25.56800 ms     0000031f ticks
        67.71200 ms     00000844 ticks
        20.83200 ms     0000028b ticks
        44.83200 ms     00000579 ticks
        45.72800 ms     00000595 ticks
        21.82400 ms     000002aa ticks
        52.92800 ms     00000676 ticks
        57.69600 ms     0000070b ticks
        14.30400 ms     000001bf ticks
        78.81600 ms     0000099f ticks
        84.70400 ms     00000a57 ticks
        37.72800 ms     0000049b ticks
        20.83200 ms     0000028b ticks
        96.96000 ms     00000bd6 ticks
        21.28000 ms     00000299 ticks
        69.69600 ms     00000882 ticks
        45.60000 ms     00000591 ticks
        62.62400 ms     000007a5 ticks
        94.01600 ms     00000b7a ticks
        72.00000 ms     000008ca ticks
        94.52800 ms     00000b8a ticks
        43.55200 ms     00000551 ticks
        20.89600 ms     0000028d ticks
        33.34400 ms     00000412 ticks
        28.51200 ms     0000037b ticks
        71.71200 ms     000008c1 ticks
        64.73600 ms     000007e7 ticks
        96.92800 ms     00000bd5 ticks
        33.50400 ms     00000417 ticks
        28.64000 ms     0000037f ticks
        45.63200 ms     00000592 ticks
        33.12000 ms     0000040b ticks
        33.50400 ms     00000417 ticks
        40.06400 ms     000004e4 ticks
        70.01600 ms     0000088c ticks
        50.94400 ms     00000638 ticks
        11.52000 ms     00000168 ticks
        40.19200 ms     000004e8 ticks
       133.76000 ms     00001054 ticks
        60.67200 ms     00000768 ticks
        26.20800 ms     00000333 ticks
       112.99200 ms     00000dcb ticks
       121.21600 ms     00000ecc ticks
        56.19200 ms     000006dc ticks
        68.92800 ms     0000086a ticks
        42.59200 ms     00000533 ticks
        77.31200 ms     00000970 ticks
        78.78400 ms     0000099e ticks
        40.83200 ms     000004fc ticks
        67.45600 ms     0000083c ticks
        28.48000 ms     0000037a ticks
        69.37600 ms     00000878 ticks
        23.71200 ms     000002e5 ticks
        35.52000 ms     00000456 ticks
        84.67200 ms     00000a56 ticks
        37.72800 ms     0000049b ticks
        24.99200 ms     0000030d ticks
       119.55200 ms     00000e98 ticks
        23.74400 ms     000002e6 ticks
        72.00000 ms     000008ca ticks
       244.60800 ms     00001ddc ticks
        76.51200 ms     00000957 ticks
        57.95200 ms     00000713 ticks
        32.80000 ms     00000401 ticks
        14.24000 ms     000001bd ticks
        67.13600 ms     00000832 ticks
        28.60800 ms     0000037e ticks
        79.39200 ms     000009b1 ticks
        13.98400 ms     000001b5 ticks
        62.94400 ms     000007af ticks
        86.65600 ms     00000a94 ticks
        12.19200 ms     0000017d ticks
        18.52800 ms     00000243 ticks
        30.97600 ms     000003c8 ticks
        31.26400 ms     000003d1 ticks
        71.74400 ms     000008c2 ticks
         8.51200 ms     0000010a ticks
        83.48800 ms     00000a31 ticks
        16.54400 ms     00000205 ticks
        55.16800 ms     000006bc ticks
         9.69600 ms     0000012f ticks
        83.32800 ms     00000a2c ticks
        40.70400 ms     000004f8 ticks
        49.02400 ms     000005fc ticks
        81.47200 ms     000009f2 ticks
        51.68000 ms     0000064f ticks
       148.38400 ms     0000121d ticks
        62.97600 ms     000007b0 ticks
        20.83200 ms     0000028b ticks
        78.84800 ms     000009a0 ticks
        41.69600 ms     00000517 ticks
        76.41600 ms     00000954 ticks
        35.87200 ms     00000461 ticks
        40.09600 ms     000004e5 ticks
        41.69600 ms     00000517 ticks
        69.76000 ms     00000884 ticks
        45.98400 ms     0000059d ticks
        19.26400 ms     0000025a ticks
        21.15200 ms     00000295 ticks
        64.89600 ms     000007ec ticks
        24.96000 ms     0000030c ticks
        60.70400 ms     00000769 ticks
        74.68800 ms     0000091e ticks
         8.51200 ms     0000010a ticks
        57.88800 ms     00000711 ticks
        17.69600 ms     00000229 ticks
        56.35200 ms     000006e1 ticks
        83.32800 ms     00000a2c ticks
        26.17600 ms     00000332 ticks
        53.76000 ms     00000690 ticks
        20.83200 ms     0000028b ticks
       103.71200 ms     00000ca9 ticks
        23.71200 ms     000002e5 ticks
        53.72800 ms     0000068f ticks
        43.42400 ms     0000054d ticks
        19.26400 ms     0000025a ticks
        48.12800 ms     000005e0 ticks
        59.71200 ms     0000074a ticks
        27.84000 ms     00000366 ticks
        17.08800 ms     00000216 ticks
         8.51200 ms     0000010a ticks
        40.35200 ms     000004ed ticks
        20.80000 ms     0000028a ticks
        83.36000 ms     00000a2d ticks
        26.14400 ms     00000331 ticks
        53.79200 ms     00000691 ticks
        35.42400 ms     00000453 ticks
        53.92000 ms     00000695 ticks
        69.76000 ms     00000884 ticks
        17.66400 ms     00000228 ticks
        25.53600 ms     0000031e ticks
        24.12800 ms     000002f2 ticks
        73.08800 ms     000008ec ticks
        87.39200 ms     00000aab ticks
        12.00000 ms     00000177 ticks
        67.26400 ms     00000836 ticks
        18.84800 ms     0000024d ticks
        66.40000 ms     0000081b ticks
        11.48800 ms     00000167 ticks
        86.08000 ms     00000a82 ticks
        56.38400 ms     000006e2 ticks
        99.20000 ms     00000c1c ticks
        67.71200 ms     00000844 ticks
        49.18400 ms     00000601 ticks
       558.33600 ms     00004428 ticks
        42.62400 ms     00000534 ticks
       100.28800 ms     00000c3e ticks
        67.48800 ms     0000083d ticks
        35.93600 ms     00000463 ticks
        59.87200 ms     0000074f ticks
         9.63200 ms     0000012d ticks
        58.11200 ms     00000718 ticks
        22.91200 ms     000002cc ticks
        60.70400 ms     00000769 ticks
        62.81600 ms     000007ab ticks
        24.12800 ms     000002f2 ticks
        75.20000 ms     0000092e ticks
        78.59200 ms     00000998 ticks
        16.60800 ms     00000207 ticks
        62.88000 ms     000007ad ticks
        38.24000 ms     000004ab ticks
        21.82400 ms     000002aa ticks
        43.29600 ms     00000549 ticks
        21.82400 ms     000002aa ticks
        52.54400 ms     0000066a ticks
         8.51200 ms     0000010a ticks
        21.37600 ms     0000029c ticks
        44.80000 ms     00000578 ticks
        98.20800 ms     00000bfd ticks
        56.19200 ms     000006dc ticks
        58.20800 ms     0000071b ticks
        19.26400 ms     0000025a ticks
        57.79200 ms     0000070e ticks
        49.69600 ms     00000611 ticks
        14.01600 ms     000001b6 ticks
        65.50400 ms     000007ff ticks
        57.82400 ms     0000070f ticks
        49.02400 ms     000005fc ticks
        62.65600 ms     000007a6 ticks
       114.33600 ms     00000df5 ticks
        11.48800 ms     00000167 ticks
        49.60000 ms     0000060e ticks
        85.63200 ms     00000a74 ticks
        69.82400 ms     00000886 ticks
       190.27200 ms     0000173a ticks
        56.19200 ms     000006dc ticks
        98.20800 ms     00000bfd ticks
        85.47200 ms     00000a6f ticks
        18.97600 ms     00000251 ticks
        37.79200 ms     0000049d ticks
        84.64000 ms     00000a55 ticks
        21.95200 ms     000002ae ticks
        58.46400 ms     00000723 ticks
       103.77600 ms     00000cab ticks
        29.18400 ms     00000390 ticks
        83.39200 ms     00000a2e ticks
        37.53600 ms     00000495 ticks
        78.88000 ms     000009a1 ticks
        21.28000 ms     00000299 ticks
        39.74400 ms     000004da ticks
         8.51200 ms     0000010a ticks
        84.19200 ms     00000a47 ticks
        11.74400 ms     0000016f ticks
        38.17600 ms     000004a9 ticks
        50.49600 ms     0000062a ticks
        30.84800 ms     000003c4 ticks
        44.00000 ms     0000055f ticks
        14.43200 ms     000001c3 ticks
        31.29600 ms     000003d2 ticks
        44.76800 ms     00000577 ticks
        60.57600 ms     00000765 ticks
        67.48800 ms     0000083d ticks
        48.16000 ms     000005e1 ticks
        62.43200 ms     0000079f ticks
        14.24000 ms     000001bd ticks
        78.94400 ms     000009a3 ticks
        16.25600 ms     000001fc ticks
        76.92800 ms     00000964 ticks
        33.37600 ms     00000413 ticks
        79.29600 ms     000009ae ticks
        16.28800 ms     000001fd ticks
        58.68800 ms     0000072a ticks
        21.15200 ms     00000295 ticks
       100.96000 ms     00000c53 ticks
        18.94400 ms     00000250 ticks
        92.51200 ms     00000b4b ticks
        54.30400 ms     000006a1 ticks
        44.86400 ms     0000057a ticks
       445.44000 ms     00003660 ticks
        81.12000 ms     000009e7 ticks
       135.87200 ms     00001096 ticks
        87.90400 ms     00000abb ticks
       276.03200 ms     000021b2 ticks
        53.92000 ms     00000695 ticks
        20.83200 ms     0000028b ticks
        98.72000 ms     00000c0d ticks
        12.00000 ms     00000177 ticks
        81.08800 ms     000009e6 ticks
        43.10400 ms     00000543 ticks
        35.42400 ms     00000453 ticks
        26.17600 ms     00000332 ticks
        74.27200 ms     00000911 ticks
        22.91200 ms     000002cc ticks
       108.25600 ms     00000d37 ticks
        23.74400 ms     000002e6 ticks
        60.57600 ms     00000765 ticks
        48.03200 ms     000005dd ticks
       131.23200 ms     00001005 ticks
        18.46400 ms     00000241 ticks
        49.37600 ms     00000607 ticks
        72.57600 ms     000008dc ticks
        28.67200 ms     00000380 ticks
        21.15200 ms     00000295 ticks
        49.05600 ms     000005fd ticks
        52.19200 ms     0000065f ticks
        92.41600 ms     00000b48 ticks
        40.83200 ms     000004fc ticks
        37.79200 ms     0000049d ticks
        33.34400 ms     00000412 ticks
        49.02400 ms     000005fc ticks
        40.83200 ms     000004fc ticks
        40.09600 ms     000004e5 ticks
        61.85600 ms     0000078d ticks
        11.68000 ms     0000016d ticks
        45.98400 ms     0000059d ticks
        60.83200 ms     0000076d ticks
       370.14400 ms     00002d2f ticks
       103.77600 ms     00000cab ticks
        45.92000 ms     0000059b ticks
       103.42400 ms     00000ca0 ticks
         8.54400 ms     0000010b ticks
        83.74400 ms     00000a39 ticks
        55.36000 ms     000006c2 ticks
        40.00000 ms     000004e2 ticks
       198.62400 ms     0000183f ticks
       110.56000 ms     00000d7f ticks
        33.37600 ms     00000413 ticks
        62.75200 ms     000007a9 ticks
        16.64000 ms     00000208 ticks
        98.49600 ms     00000c06 ticks
        11.45600 ms     00000166 ticks
        56.67200 ms     000006eb ticks
        16.25600 ms     000001fc ticks
        88.64000 ms     00000ad2 ticks
        16.00000 ms     000001f4 ticks
        59.29600 ms     0000073d ticks
        20.86400 ms     0000028c ticks
        41.63200 ms     00000515 ticks
        11.48800 ms     00000167 ticks
        72.00000 ms     000008ca ticks
        28.60800 ms     0000037e ticks
        60.35200 ms     0000075e ticks
        16.54400 ms     00000205 ticks
        53.56800 ms     0000068a ticks
        83.58400 ms     00000a34 ticks
        58.46400 ms     00000723 ticks
        20.83200 ms     0000028b ticks
        83.29600 ms     00000a2b ticks
        26.20800 ms     00000333 ticks
        21.79200 ms     000002a9 ticks
        38.27200 ms     000004ac ticks
        21.82400 ms     000002aa ticks
        50.59200 ms     0000062d ticks
        24.73600 ms     00000305 ticks
        13.98400 ms     000001b5 ticks
        72.03200 ms     000008cb ticks
        20.83200 ms     0000028b ticks
        69.76000 ms     00000884 ticks
        31.04000 ms     000003ca ticks
        74.24000 ms     00000910 ticks
        89.56800 ms     00000aef ticks
        52.83200 ms     00000673 ticks
        11.48800 ms     00000167 ticks
        74.68800 ms     0000091e ticks
        73.12000 ms     000008ed ticks
        83.32800 ms     00000a2c ticks
        21.28000 ms     00000299 ticks
        62.84800 ms     000007ac ticks
        45.60000 ms     00000591 ticks
        28.67200 ms     00000380 ticks
        22.88000 ms     000002cb ticks
        60.70400 ms     00000769 ticks
        45.72800 ms     00000595 ticks
        51.13600 ms     0000063e ticks
         8.54400 ms     0000010b ticks
        62.46400 ms     000007a0 ticks
        11.96800 ms     00000176 ticks
        69.56800 ms     0000087e ticks
        18.84800 ms     0000024d ticks
        37.66400 ms     00000499 ticks
        50.62400 ms     0000062e ticks
        58.30400 ms     0000071e ticks
       171.42400 ms     000014ed ticks
        85.60000 ms     00000a73 ticks
        38.36800 ms     000004af ticks
        42.40000 ms     0000052d ticks
        62.62400 ms     000007a5 ticks
        82.97600 ms     00000a21 ticks
        14.30400 ms     000001bf ticks
        30.94400 ms     000003c7 ticks
        76.51200 ms     00000957 ticks
        11.68000 ms     0000016d ticks
        31.23200 ms     000003d0 ticks
        60.89600 ms     0000076f ticks
        75.26400 ms     00000930 ticks
        85.88800 ms     00000a7c ticks
        25.44000 ms     0000031b ticks
        30.97600 ms     000003c8 ticks
       175.55200 ms     0000156e ticks
        44.80000 ms     00000578 ticks
        70.91200 ms     000008a8 ticks
        51.68000 ms     0000064f ticks
        85.66400 ms     00000a75 ticks
        81.08800 ms     000009e6 ticks
        38.43200 ms     000004b1 ticks
        55.42400 ms     000006c4 ticks
        11.93600 ms     00000175 ticks
        62.65600 ms     000007a6 ticks
        39.61600 ms     000004d6 ticks
        53.92000 ms     00000695 ticks
        45.72800 ms     00000595 ticks
        33.24800 ms     0000040f ticks
       380.64000 ms     00002e77 ticks
        94.72000 ms     00000b90 ticks
        33.37600 ms     00000413 ticks
       103.77600 ms     00000cab ticks
        77.28000 ms     0000096f ticks
        94.68800 ms     00000b8f ticks
        21.31200 ms     0000029a ticks
        72.03200 ms     000008cb ticks
        35.80800 ms     0000045f ticks
        24.12800 ms     000002f2 ticks
        96.12800 ms     00000bbc ticks
        67.36000 ms     00000839 ticks
        19.00800 ms     00000252 ticks
        67.42400 ms     0000083b ticks
        79.39200 ms     000009b1 ticks
        88.35200 ms     00000ac9 ticks
        16.25600 ms     000001fc ticks
        47.32800 ms     000005c7 ticks
        77.37600 ms     00000972 ticks
        24.92800 ms     0000030b ticks
        18.78400 ms     0000024b ticks
        19.32800 ms     0000025c ticks
        53.18400 ms     0000067e ticks
        54.11200 ms     0000069b ticks
        25.47200 ms     0000031c ticks
        24.16000 ms     000002f3 ticks
        98.20800 ms     00000bfd ticks
       105.85600 ms     00000cec ticks
        18.97600 ms     00000251 ticks
        71.96800 ms     000008c9 ticks
        58.46400 ms     00000723 ticks
        69.76000 ms     00000884 ticks
        48.16000 ms     000005e1 ticks
        42.20800 ms     00000527 ticks
        18.81600 ms     0000024c ticks
        74.24000 ms     00000910 ticks
        18.46400 ms     00000241 ticks
        69.76000 ms     00000884 ticks
        35.93600 ms     00000463 ticks
        58.30400 ms     0000071e ticks
        26.04800 ms     0000032e ticks
        55.84000 ms     000006d1 ticks
        68.92800 ms     0000086a ticks
        78.81600 ms     0000099f ticks
        21.24800 ms     00000298 ticks
        60.57600 ms     00000765 ticks
        77.37600 ms     00000972 ticks
        24.12800 ms     000002f2 ticks
        89.82400 ms     00000af7 ticks
       110.56000 ms     00000d7f ticks
        20.80000 ms     0000028a ticks
        83.32800 ms     00000a2c ticks
        53.56800 ms     0000068a ticks
        16.89600 ms     00000210 ticks
        51.07200 ms     0000063c ticks
        21.92000 ms     000002ad ticks
        38.33600 ms     000004ae ticks
        30.88000 ms     000003c5 ticks
        68.19200 ms     00000853 ticks
        16.96000 ms     00000212 ticks
        51.04000 ms     0000063b ticks
        67.71200 ms     00000844 ticks
       125.40800 ms     00000f4f ticks
        44.89600 ms     0000057b ticks
        79.36000 ms     000009b0 ticks
        65.28000 ms     000007f8 ticks
        98.17600 ms     00000bfc ticks
        72.06400 ms     000008cc ticks
        54.27200 ms     000006a0 ticks
        92.67200 ms     00000b50 ticks
        18.46400 ms     00000241 ticks
        96.96000 ms     00000bd6 ticks
        72.57600 ms     000008dc ticks
        51.45600 ms     00000648 ticks
        21.15200 ms     00000295 ticks
        67.13600 ms     00000832 ticks
        35.45600 ms     00000454 ticks
        76.60800 ms     0000095a ticks
        62.62400 ms     000007a5 ticks
       103.77600 ms     00000cab ticks
       137.92000 ms     000010d6 ticks
       117.37600 ms     00000e54 ticks
        56.35200 ms     000006e1 ticks
        58.43200 ms     00000722 ticks
        52.22400 ms     00000660 ticks
         9.79200 ms     00000132 ticks
        18.52800 ms     00000243 ticks
        58.56000 ms     00000726 ticks
        31.26400 ms     000003d1 ticks
        72.00000 ms     000008ca ticks
        21.28000 ms     00000299 ticks
        67.45600 ms     0000083c ticks
       181.85600 ms     00001633 ticks
        48.99200 ms     000005fb ticks
        54.27200 ms     000006a0 ticks
        21.69600 ms     000002a6 ticks
        18.81600 ms     0000024c ticks
       119.71200 ms     00000e9d ticks
        16.25600 ms     000001fc ticks
       110.78400 ms     00000d86 ticks
         8.51200 ms     0000010a ticks
        92.38400 ms     00000b47 ticks
        74.94400 ms     00000926 ticks
        22.68800 ms     000002c5 ticks
        28.28800 ms     00000374 ticks
        19.32800 ms     0000025c ticks
        21.15200 ms     00000295 ticks
        71.68000 ms     000008c0 ticks
       861.47200 ms     00006929 ticks
        60.28800 ms     0000075c ticks
        37.79200 ms     0000049d ticks
        49.47200 ms     0000060a ticks
        18.46400 ms     00000241 ticks
       133.15200 ms     00001041 ticks
        48.16000 ms     000005e1 ticks
        99.32800 ms     00000c20 ticks
        21.12000 ms     00000294 ticks
        76.22400 ms     0000094e ticks
        68.92800 ms     0000086a ticks
        90.11200 ms     00000b00 ticks
        26.17600 ms     00000332 ticks
        78.46400 ms     00000994 ticks
         8.51200 ms     0000010a ticks
        40.32000 ms     000004ec ticks
        50.59200 ms     0000062d ticks
        64.32000 ms     000007da ticks
         8.51200 ms     0000010a ticks
        21.98400 ms     000002af ticks
       280.12800 ms     00002232 ticks
        94.72000 ms     00000b90 ticks
        24.99200 ms     0000030d ticks
        28.99200 ms     0000038a ticks
        72.60800 ms     000008dd ticks
        21.66400 ms     000002a5 ticks
        18.84800 ms     0000024d ticks
        35.39200 ms     00000452 ticks
        43.29600 ms     00000549 ticks
        54.17600 ms     0000069d ticks
        16.22400 ms     000001fb ticks
        87.61600 ms     00000ab2 ticks
        16.64000 ms     00000208 ticks
        71.96800 ms     000008c9 ticks
        74.27200 ms     00000911 ticks
        13.44000 ms     000001a4 ticks
        79.39200 ms     000009b1 ticks
        99.23200 ms     00000c1d ticks
       575.00800 ms     00004631 ticks
        65.24800 ms     000007f7 ticks
       242.56000 ms     00001d9c ticks
        81.05600 ms     000009e5 ticks
        33.50400 ms     00000417 ticks
        56.06400 ms     000006d8 ticks
       508.12800 ms     00003e07 ticks
        85.60000 ms     00000a73 ticks
        21.28000 ms     00000299 ticks
        72.28800 ms     000008d3 ticks
        18.46400 ms     00000241 ticks
        89.85600 ms     00000af8 ticks
        16.64000 ms     00000208 ticks
        76.38400 ms     00000953 ticks
        18.84800 ms     0000024d ticks
        92.67200 ms     00000b50 ticks
        14.01600 ms     000001b6 ticks
       115.71200 ms     00000e20 ticks
        33.37600 ms     00000413 ticks
        78.84800 ms     000009a0 ticks
        66.84800 ms     00000829 ticks
        72.03200 ms     000008cb ticks
        28.60800 ms     0000037e ticks
        60.57600 ms     00000765 ticks
        72.44800 ms     000008d8 ticks
        38.52800 ms     000004b4 ticks
        11.74400 ms     0000016f ticks
        83.80800 ms     00000a3b ticks
       140.00000 ms     00001117 ticks
       133.21600 ms     00001043 ticks
        58.46400 ms     00000723 ticks
        98.91200 ms     00000c13 ticks
         8.51200 ms     0000010a ticks
        60.99200 ms     00000772 ticks
        50.43200 ms     00000628 ticks
        51.26400 ms     00000642 ticks
        21.31200 ms     0000029a ticks
        83.36000 ms     00000a2d ticks
        75.20000 ms     0000092e ticks
        82.84800 ms     00000a1d ticks
        11.96800 ms     00000176 ticks
        94.78400 ms     00000b92 ticks
        30.91200 ms     000003c6 ticks
        44.51200 ms     0000056f ticks
        64.73600 ms     000007e7 ticks
        60.73600 ms     0000076a ticks
        41.72800 ms     00000518 ticks
       126.40000 ms     00000f6e ticks
       117.02400 ms     00000e49 ticks
       115.07200 ms     00000e0c ticks
        21.28000 ms     00000299 ticks
        85.63200 ms     00000a74 ticks
        45.56800 ms     00000590 ticks
        49.05600 ms     000005fd ticks
       365.63200 ms     00002ca2 ticks
        63.00800 ms     000007b1 ticks
        87.74400 ms     00000ab6 ticks
        99.20000 ms     00000c1c ticks
        40.83200 ms     000004fc ticks
        62.88000 ms     000007ad ticks
        45.88800 ms     0000059a ticks
        40.32000 ms     000004ec ticks
        72.67200 ms     000008df ticks
         8.51200 ms     0000010a ticks
        23.87200 ms     000002ea ticks
        86.04800 ms     00000a81 ticks
        27.07200 ms     0000034e ticks
        92.44800 ms     00000b49 ticks
        77.28000 ms     0000096f ticks
        69.76000 ms     00000884 ticks
        31.04000 ms     000003ca ticks
        69.24800 ms     00000874 ticks
        14.24000 ms     000001bd ticks
        55.84000 ms     000006d1 ticks
        20.80000 ms     0000028a ticks
        85.63200 ms     00000a74 ticks
        60.57600 ms     00000765 ticks
       106.01600 ms     00000cf1 ticks
        20.83200 ms     0000028b ticks
       115.07200 ms     00000e0c ticks
       150.52800 ms     00001260 ticks
        72.00000 ms     000008ca ticks
        38.40000 ms     000004b0 ticks
        81.05600 ms     000009e5 ticks
        70.04800 ms     0000088d ticks
        83.00800 ms     00000a22 ticks
       457.95200 ms     000037e7 ticks
        44.89600 ms     0000057b ticks
        20.80000 ms     0000028a ticks
        65.24800 ms     000007f7 ticks
        79.93600 ms     000009c2 ticks
        28.70400 ms     00000381 ticks
       407.71200 ms     000031c5 ticks
       119.10400 ms     00000e8a ticks
        12.00000 ms     00000177 ticks
        62.84800 ms     000007ac ticks
        65.12000 ms     000007f3 ticks
        25.88800 ms     00000329 ticks
        11.96800 ms     00000176 ticks
        66.97600 ms     0000082d ticks
        14.24000 ms     000001bd ticks
        44.09600 ms     00000562 ticks
        87.16800 ms     00000aa4 ticks
        11.42400 ms     00000165 ticks
        11.77600 ms     00000170 ticks
        65.85600 ms     0000080a ticks
        66.81600 ms     00000828 ticks
        87.87200 ms     00000aba ticks
        33.50400 ms     00000417 ticks
